customer_id,first_name,last_name,total_spent,frequency,recency,RFM_Score
136,Sarita,Parks,15314.013200000001,2,2199.899422465358,17515.91262246536
135,Dorthey,Jackson,12026.9409,2,2229.899422465358,14258.840322465358
1,Debra,Burks,27888.183399999994,3,2239.899422465358,30131.082822465352
3,Tameka,Fisher,24051.527899999997,3,2267.899422465358,26322.427322465355
6,Lyndsey,Bean,32675.072499999995,3,2312.899422465358,34990.97192246535
15,Linnie,Branch,9586.801800000001,3,2324.899422465358,11914.701222465359
10,Pamelia,Newman,33634.26039999999,3,2326.899422465358,35964.15982246535
53,Saturnina,Garner,14068.2366,3,2368.899422465358,16440.136022465358
33,Deloris,Burke,19043.903599999998,3,2369.899422465358,21416.803022465356
119,Thalia,Dillard,16764.1256,2,2370.899422465358,19137.025022465357
123,Robena,Hill,13783.7813,2,2379.899422465358,16165.680722465358
7,Latasha,Hays,7147.162899999999,3,2393.899422465358,9544.062322465357
55,Diana,Guerra,4183.6207,2,2441.899422465358,6627.520122465358
74,Georgeann,Waller,4036.9719999999998,2,2441.899422465358,6480.871422465358
43,Mozelle,Carter,23049.057,3,2442.899422465358,25494.95642246536
239,Felice,Guzman,10156.896799999999,2,2442.899422465358,12601.796222465357
90,Marjorie,Logan,8956.785,2,2442.899422465358,11401.684422465358
49,Caroll,Hays,1571.1760000000002,2,2442.899422465358,4016.0754224653583
21,Tobie,Little,17123.997499999998,3,2443.899422465358,19570.896922465356
56,Lolita,Mosley,6680.443899999999,3,2443.899422465358,9127.343322465356
45,Bennett,Armstrong,3347.648,2,2443.899422465358,5793.547422465358
71,Takako,Casey,1855.3325,2,2443.899422465358,4301.231922465358
9,Genoveva,Baldwin,24433.881799999996,3,2444.899422465358,26881.781222465353
40,Ronna,Butler,17240.562299999998,3,2444.899422465358,19688.461722465356
138,Jone,Bernard,12010.496899999998,2,2444.899422465358,14457.396322465356
165,Jeromy,Burch,11907.9041,2,2444.899422465358,14354.803522465358
11,Deshawn,Mendoza,3690.2361,3,2445.899422465358,6139.135522465358
157,Carola,Rodriquez,17861.1996,2,2445.899422465358,20309.099022465358
109,Monica,Sears,17193.9034,2,2445.899422465358,19641.802822465357
231,Jenee,Rasmussen,12861.8789,2,2445.899422465358,15309.778322465358
176,Carley,Reynolds,6829.7092,2,2445.899422465358,9277.608622465359
240,Le,Deleon,9959.0962,2,2446.899422465358,12407.995622465358
44,Onita,Johns,2270.5392,2,2446.899422465358,4719.438622465358
188,Sharla,Flynn,1729.775,2,2446.899422465358,4178.674422465358
104,Katharina,Bates,11776.4101,2,2447.899422465358,14226.309522465357
191,Graciela,Barber,2593.1289,2,2447.899422465358,5043.028322465358
12,Robby,Sykes,24305.1394,3,2448.899422465358,26757.038822465358
24,Corene,Wall,14199.955800000002,3,2448.899422465358,16651.85522246536
93,Corrina,Sawyer,25612.702100000002,2,2448.899422465358,28063.60152246536
48,Cesar,Jackson,11705.851999999999,2,2448.899422465358,14156.751422465357
224,Moses,Pope,11471.895400000001,2,2448.899422465358,13922.79482246536
124,Jeni,Booker,6235.5381,2,2448.899422465358,8686.437522465358
14,Garry,Espinoza,15766.7006,3,2449.899422465358,18219.600022465358
54,Fran,Yang,17225.4439,2,2449.899422465358,19677.343322465356
29,Syreeta,Hendricks,11979.946699999999,2,2449.899422465358,14431.846122465357
80,Sarai,Mckee,9563.3381,2,2449.899422465358,12015.237522465359
46,Monika,Berg,8902.506599999999,3,2450.899422465358,11356.406022465357
192,Bong,Hebert,14208.388099999998,2,2450.899422465358,16661.287522465354
