customer_id,first_name,last_name,email
1,Debra,Burks,debra.burks@yahoo.com
2,Kasha,Todd,kasha.todd@yahoo.com
3,Tameka,Fisher,tameka.fisher@aol.com
4,Daryl,Spence,daryl.spence@aol.com
5,Charolette,Rice,charolette.rice@msn.com
6,Lyndsey,Bean,lyndsey.bean@hotmail.com
7,Latasha,Hays,latasha.hays@hotmail.com
8,Jacquline,Duncan,jacquline.duncan@yahoo.com
9,Genoveva,Baldwin,genoveva.baldwin@msn.com
10,Pamelia,Newman,pamelia.newman@gmail.com
11,Deshawn,Mendoza,deshawn.mendoza@yahoo.com
12,Robby,Sykes,robby.sykes@hotmail.com
13,Lashawn,Ortiz,lashawn.ortiz@msn.com
14,Garry,Espinoza,garry.espinoza@hotmail.com
15,Linnie,Branch,linnie.branch@gmail.com
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com
17,Caren,Stephens,caren.stephens@msn.com
18,Georgetta,Hardin,georgetta.hardin@aol.com
19,Lizzette,Stein,lizzette.stein@yahoo.com
20,Aleta,Shepard,aleta.shepard@aol.com
21,Tobie,Little,tobie.little@gmail.com
22,Adelle,Larsen,adelle.larsen@gmail.com
23,Kaylee,English,kaylee.english@msn.com
24,Corene,Wall,corene.wall@msn.com
25,Regenia,Vaughan,regenia.vaughan@gmail.com
26,Theo,Reese,theo.reese@gmail.com
27,Santos,Valencia,santos.valencia@yahoo.com
28,Jeanice,Frost,jeanice.frost@hotmail.com
29,Syreeta,Hendricks,syreeta.hendricks@msn.com
30,Jamaal,Albert,jamaal.albert@gmail.com
31,Williemae,Holloway,williemae.holloway@msn.com
32,Araceli,Golden,araceli.golden@msn.com
33,Deloris,Burke,deloris.burke@hotmail.com
34,Brittney,Woodward,brittney.woodward@aol.com
35,Guillermina,Noble,guillermina.noble@msn.com
36,Bernita,Mcdaniel,bernita.mcdaniel@hotmail.com
37,Melia,Brady,melia.brady@gmail.com
38,Zelma,Browning,zelma.browning@aol.com
39,Janetta,Aguirre,janetta.aguirre@aol.com
40,Ronna,Butler,ronna.butler@gmail.com
41,Kathie,Freeman,kathie.freeman@msn.com
42,Tangela,Quinn,tangela.quinn@aol.com
43,Mozelle,Carter,mozelle.carter@aol.com
44,Onita,Johns,onita.johns@msn.com
45,Bennett,Armstrong,bennett.armstrong@aol.com
46,Monika,Berg,monika.berg@gmail.com
47,Bridgette,Guerra,bridgette.guerra@hotmail.com
48,Cesar,Jackson,cesar.jackson@gmail.com
49,Caroll,Hays,caroll.hays@yahoo.com
50,Cleotilde,Booth,cleotilde.booth@gmail.com
51,Gertrud,Rhodes,gertrud.rhodes@aol.com
52,Tu,Ramirez,tu.ramirez@hotmail.com
53,Saturnina,Garner,saturnina.garner@gmail.com
54,Fran,Yang,fran.yang@hotmail.com
55,Diana,Guerra,diana.guerra@hotmail.com
56,Lolita,Mosley,lolita.mosley@hotmail.com
57,Pamala,Henry,pamala.henry@aol.com
58,Damien,Dorsey,damien.dorsey@yahoo.com
59,Latasha,Stanley,latasha.stanley@gmail.com
60,Neil,Mccall,neil.mccall@gmail.com
61,Elinore,Aguilar,elinore.aguilar@msn.com
62,Alica,Hunter,alica.hunter@hotmail.com
63,Tenisha,Lyons,tenisha.lyons@aol.com
64,Bobbie,Foster,bobbie.foster@yahoo.com
65,Kanesha,Vega,kanesha.vega@gmail.com
66,Lorrie,Becker,lorrie.becker@yahoo.com
67,Tommie,Melton,tommie.melton@gmail.com
68,Jayne,Kirkland,jayne.kirkland@hotmail.com
69,Katelin,Kennedy,katelin.kennedy@gmail.com
70,Tomasa,Carson,tomasa.carson@aol.com
71,Takako,Casey,takako.casey@aol.com
72,Petronila,Norris,petronila.norris@aol.com
73,Melanie,Hayes,melanie.hayes@msn.com
74,Georgeann,Waller,georgeann.waller@yahoo.com
75,Abby,Gamble,abby.gamble@aol.com
76,Parker,Prince,parker.prince@hotmail.com
77,Keri,Bridges,keri.bridges@gmail.com
78,Chi,Goff,chi.goff@aol.com
79,Ashanti,Parks,ashanti.parks@hotmail.com
80,Sarai,Mckee,sarai.mckee@msn.com
81,Zina,Bonner,zina.bonner@hotmail.com
82,Lizzie,Joyner,lizzie.joyner@msn.com
83,Tiesha,Daniel,tiesha.daniel@yahoo.com
84,Armand,Whitehead,armand.whitehead@hotmail.com
85,Teofila,Fischer,teofila.fischer@aol.com
86,Lissa,Vargas,lissa.vargas@yahoo.com
87,Yan,Mcgowan,yan.mcgowan@msn.com
88,Titus,Bullock,titus.bullock@gmail.com
89,Arvilla,Osborn,arvilla.osborn@gmail.com
90,Marjorie,Logan,marjorie.logan@msn.com
91,Marvin,Mullins,marvin.mullins@aol.com
92,Tena,Cruz,tena.cruz@yahoo.com
93,Corrina,Sawyer,corrina.sawyer@yahoo.com
94,Sharyn,Hopkins,sharyn.hopkins@hotmail.com
95,Letitia,Franco,letitia.franco@aol.com
96,Floretta,Higgins,floretta.higgins@hotmail.com
97,Louanne,Martin,louanne.martin@hotmail.com
98,Violet,Valenzuela,violet.valenzuela@msn.com
99,Carie,Kidd,carie.kidd@yahoo.com
100,Kellie,Franco,kellie.franco@yahoo.com
101,Nichelle,Howell,nichelle.howell@aol.com
102,Marisol,Goodman,marisol.goodman@gmail.com
103,Sylvie,Wilkerson,sylvie.wilkerson@yahoo.com
104,Katharina,Bates,katharina.bates@gmail.com
105,Marget,Hodge,marget.hodge@msn.com
106,Raul,Melendez,raul.melendez@hotmail.com
107,Cecil,Hopper,cecil.hopper@yahoo.com
108,Shae,Hickman,shae.hickman@hotmail.com
109,Monica,Sears,monica.sears@aol.com
110,Ollie,Zimmerman,ollie.zimmerman@yahoo.com
111,Shila,White,shila.white@msn.com
112,Yuk,Vega,yuk.vega@yahoo.com
113,Eliana,Silva,eliana.silva@gmail.com
114,Thalia,Horne,thalia.horne@yahoo.com
115,Rey,Lindsay,rey.lindsay@gmail.com
116,Merlene,Vinson,merlene.vinson@gmail.com
117,Dacia,William,dacia.william@msn.com
118,Le,Wood,le.wood@yahoo.com
119,Thalia,Dillard,thalia.dillard@yahoo.com
120,Luz,House,luz.house@gmail.com
121,Lucy,Woods,lucy.woods@gmail.com
122,Shena,Carter,shena.carter@yahoo.com
123,Robena,Hill,robena.hill@hotmail.com
124,Jeni,Booker,jeni.booker@gmail.com
125,Herlinda,Stone,herlinda.stone@msn.com
126,Lavina,Dejesus,lavina.dejesus@msn.com
127,Erlinda,Nielsen,erlinda.nielsen@aol.com
128,Terrance,Lynn,terrance.lynn@yahoo.com
129,Walton,Dejesus,walton.dejesus@yahoo.com
130,Wes,Stanton,wes.stanton@msn.com
131,Tanesha,Hampton,tanesha.hampton@hotmail.com
132,Boyd,Irwin,boyd.irwin@hotmail.com
133,Delbert,Wilkins,delbert.wilkins@aol.com
134,Brianna,Moss,brianna.moss@msn.com
135,Dorthey,Jackson,dorthey.jackson@msn.com
136,Sarita,Parks,sarita.parks@msn.com
137,Shonta,Mercer,shonta.mercer@aol.com
138,Jone,Bernard,jone.bernard@hotmail.com
139,Wanita,Davenport,wanita.davenport@aol.com
140,Cleopatra,Tate,cleopatra.tate@aol.com
141,Ramiro,Byers,ramiro.byers@gmail.com
142,Nicholas,Vazquez,nicholas.vazquez@hotmail.com
143,Janae,Doyle,janae.doyle@gmail.com
144,Hans,Price,hans.price@hotmail.com
145,Miquel,Neal,miquel.neal@hotmail.com
146,Stefany,Potter,stefany.potter@gmail.com
147,Bernetta,Marquez,bernetta.marquez@hotmail.com
148,Julee,Woodard,julee.woodard@yahoo.com
149,Meredith,Bryan,meredith.bryan@hotmail.com
150,Weldon,Michael,weldon.michael@hotmail.com
