customer_id,first_name,last_name,city,state,product_name,purchase_count
14,Garry,Espinoza,Forney,TX,Trek Conduit+ - 2016,2
19,Lizzette,Stein,Orchard Park,NY,Haro Shredder 20 - 2017,2
24,Corene,Wall,Atwater,CA,Electra Townie Original 7D EQ - Women's - 2016,2
30,Jamaal,Albert,Torrance,CA,Electra Townie Original 7D EQ - Women's - 2016,2
31,Williemae,Holloway,Oakland,CA,Surly Wednesday Frameset - 2016,2
43,Mozelle,Carter,Houston,TX,Trek Slash 8 27.5 - 2016,2
50,Cleotilde,Booth,Sugar Land,TX,Surly Wednesday Frameset - 2016,2
64,Bobbie,Foster,Desoto,TX,Electra Cruiser 1 (24-Inch) - 2016,2
85,Teofila,Fischer,Huntington Station,NY,Surly Straggler 650b - 2016,2
116,Merlene,Vinson,Euless,TX,Surly Ice Cream Truck Frameset - 2016,2
116,Merlene,Vinson,Euless,TX,Electra Townie Original 21D - 2016,2
123,Robena,Hill,Corpus Christi,TX,Sun Bicycles Biscayne Tandem 7 - 2017,2
192,Bong,Hebert,Torrance,CA,Sun Bicycles Streamway 7 - 2017,2
1,Debra,Burks,Orchard Park,NY,Trek Conduit+ - 2016,1
1,Debra,Burks,Orchard Park,NY,Surly Straggler - 2016,1
1,Debra,Burks,Orchard Park,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1
1,Debra,Burks,Orchard Park,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1
1,Debra,Burks,Orchard Park,NY,Electra Townie Original 21D - 2016,1
1,Debra,Burks,Orchard Park,NY,Surly Big Fat Dummy Frameset - 2018,1
1,Debra,Burks,Orchard Park,NY,Surly ECR 27.5 - 2018,1
1,Debra,Burks,Orchard Park,NY,Trek Domane SL 7 Women's - 2018,1
1,Debra,Burks,Orchard Park,NY,Trek Domane SL Frameset - 2018,1
1,Debra,Burks,Orchard Park,NY,Trek Domane SLR Disc Frameset - 2018,1
1,Debra,Burks,Orchard Park,NY,Electra Heartchya 1 (20-inch) - Girl's - 2018,1
2,Kasha,Todd,Campbell,CA,Electra Moto 1 - 2016,1
2,Kasha,Todd,Campbell,CA,Surly Ice Cream Truck Frameset - 2017,1
2,Kasha,Todd,Campbell,CA,Trek Domane SLR 6 Disc - 2017,1
2,Kasha,Todd,Campbell,CA,Trek Domane S 5 Disc - 2017,1
2,Kasha,Todd,Campbell,CA,Sun Bicycles ElectroLite - 2017,1
2,Kasha,Todd,Campbell,CA,Sun Bicycles Lil Bolt Type-R - 2017,1
2,Kasha,Todd,Campbell,CA,Electra Amsterdam Original 3i - 2015/2017,1
2,Kasha,Todd,Campbell,CA,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,1
2,Kasha,Todd,Campbell,CA,Electra Straight 8 3i (20-inch) - Boy's - 2017,1
2,Kasha,Todd,Campbell,CA,Electra Queen of Hearts 3i - 2018,1
3,Tameka,Fisher,Redondo Beach,CA,Trek Silque SLR 7 Women's - 2017,1
3,Tameka,Fisher,Redondo Beach,CA,Trek Madone 9.2 - 2017,1
3,Tameka,Fisher,Redondo Beach,CA,Sun Bicycles ElectroLite - 2017,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Townie 7D (20-inch) - Boys' - 2017,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Tiger Shark 3i - 2018,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Cruiser Lux 7D - 2018,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Delivery 3i - 2016/2017/2018,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Townie Commute 8D Ladies' - 2018,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Townie Original 7D EQ Ladies' - 2017/2018,1
3,Tameka,Fisher,Redondo Beach,CA,Trek Precaliber 12 Boy's - 2018,1
3,Tameka,Fisher,Redondo Beach,CA,"Electra Superbolt 1 20"" - 2018",1
3,Tameka,Fisher,Redondo Beach,CA,Electra Tiger Shark 1 (20-inch) - Boys' - 2018,1
3,Tameka,Fisher,Redondo Beach,CA,Electra Townie Original 1 - 2018,1
4,Daryl,Spence,Uniondale,NY,Trek Slash 8 27.5 - 2016,1
4,Daryl,Spence,Uniondale,NY,Pure Cycles William 3-Speed - 2016,1
4,Daryl,Spence,Uniondale,NY,Trek Domane SL 6 - 2017,1
4,Daryl,Spence,Uniondale,NY,Sun Bicycles ElectroLite - 2017,1
4,Daryl,Spence,Uniondale,NY,Trek Boone Race Shop Limited - 2017,1
4,Daryl,Spence,Uniondale,NY,Electra Amsterdam Original 3i Ladies' - 2017,1
4,Daryl,Spence,Uniondale,NY,Trek Kids' Neko - 2018,1
4,Daryl,Spence,Uniondale,NY,Electra Koa 3i Ladies' - 2018,1
4,Daryl,Spence,Uniondale,NY,Strider Strider 20 Sport - 2018,1
5,Charolette,Rice,Sacramento,CA,Surly Wednesday Frameset - 2016,1
5,Charolette,Rice,Sacramento,CA,Trek Fuel EX 8 29 - 2016,1
5,Charolette,Rice,Sacramento,CA,Trek Conduit+ - 2016,1
