customer_id,first_name,last_name,total_order_value
1,Debra,Burks,27888.183399999994
2,Kasha,Todd,19329.084899999998
3,Tameka,Fisher,24051.527899999997
4,Daryl,Spence,21150.8927
5,Charolette,Rice,17520.291899999997
6,Lyndsey,Bean,32675.072499999995
7,Latasha,Hays,7147.162899999999
8,Jacquline,Duncan,2201.6567
9,Genoveva,Baldwin,24433.8818
10,Pamelia,Newman,33634.26039999999
11,Deshawn,Mendoza,3690.2361
12,Robby,Sykes,24305.1394
13,Lashawn,Ortiz,14774.458299999998
14,Garry,Espinoza,15766.7006
15,Linnie,Branch,9586.8018
16,Emmitt,Sanchez,31925.885700000003
17,Caren,Stephens,5275.326999999999
18,Georgetta,Hardin,14877.289
19,Lizzette,Stein,16739.9958
20,Aleta,Shepard,11102.47
21,Tobie,Little,17123.997499999998
22,Adelle,Larsen,16651.0484
23,Kaylee,English,4775.9635
24,Corene,Wall,14199.955800000002
25,Regenia,Vaughan,14529.258300000001
26,Theo,Reese,9514.0705
27,Santos,Valencia,10719.0988
28,Jeanice,Frost,19992.864800000003
29,Syreeta,Hendricks,11979.946699999999
30,Jamaal,Albert,10355.390800000001
31,Williemae,Holloway,19756.6432
32,Araceli,Golden,18037.285
33,Deloris,Burke,19043.903599999998
34,Brittney,Woodward,11035.7581
35,Guillermina,Noble,22061.0729
36,Bernita,Mcdaniel,6079.942999999999
37,Melia,Brady,14011.8265
38,Zelma,Browning,21535.6665
39,Janetta,Aguirre,17783.487399999998
40,Ronna,Butler,17240.562299999998
41,Kathie,Freeman,3962.0287
42,Tangela,Quinn,9205.1175
43,Mozelle,Carter,23049.057
44,Onita,Johns,2270.5391999999997
45,Bennett,Armstrong,3347.648
46,Monika,Berg,8902.506599999999
47,Bridgette,Guerra,16935.6408
48,Cesar,Jackson,11705.851999999999
49,Caroll,Hays,1571.176
50,Cleotilde,Booth,16179.116699999999
51,Gertrud,Rhodes,7000.057999999999
52,Tu,Ramirez,6467.6551
53,Saturnina,Garner,14068.2366
54,Fran,Yang,17225.4439
55,Diana,Guerra,4183.6207
56,Lolita,Mosley,6680.4439
57,Pamala,Henry,6981.9401
58,Damien,Dorsey,21514.461499999998
59,Latasha,Stanley,13854.6016
60,Neil,Mccall,9919.3294
61,Elinore,Aguilar,25636.4531
62,Alica,Hunter,4122.145399999999
